,userid,lag_days,correlation,metric
841,1220912304240271360,7,0.6325780249412752,walking_double_support_percentage_avg
842,1220912304240271360,14,0.8481300941150333,walking_double_support_percentage_avg
843,1220912304240271360,21,0.9006623665578619,walking_double_support_percentage_avg
844,1220912304240271360,28,0.7933565310638045,walking_double_support_percentage_avg
846,1221045978277421056,7,0.7299960637364233,walking_double_support_percentage_avg
847,1221045978277421056,14,0.8185304660923738,walking_double_support_percentage_avg
848,1221045978277421056,21,0.9096456086899615,walking_double_support_percentage_avg
849,1221045978277421056,28,0.7707437936783356,walking_double_support_percentage_avg
870,1224898594392580096,0,0.6625790426116008,walking_double_support_percentage_avg
887,1225766754649972736,14,0.6062318694592623,walking_double_support_percentage_avg
888,1225766754649972736,21,0.7478124975437014,walking_double_support_percentage_avg
893,1226471208156209152,21,0.6799251592650004,walking_double_support_percentage_avg
894,1226471208156209152,28,0.6675115791258311,walking_double_support_percentage_avg
895,1226531330060525568,0,0.9771494310273376,walking_double_support_percentage_avg
896,1226531330060525568,7,0.9551921719255555,walking_double_support_percentage_avg
897,1226531330060525568,14,0.840776610875247,walking_double_support_percentage_avg
898,1226531330060525568,21,0.633440047825083,walking_double_support_percentage_avg
926,1227601813916950528,7,0.7879484020183349,walking_double_support_percentage_avg
932,1227677964261728256,14,0.7988207375937383,walking_double_support_percentage_avg
933,1227677964261728256,21,0.8724650111619169,walking_double_support_percentage_avg
938,1227678032487653376,21,0.7837184751455568,walking_double_support_percentage_avg
974,1200788781025734656,28,0.6728906900743936,walking_double_support_percentage_max
1018,1204955032839462912,21,0.6825282018183445,walking_double_support_percentage_max
1019,1204955032839462912,28,0.7374490781399665,walking_double_support_percentage_max
1021,1205233118415888384,7,0.7572044461547878,walking_double_support_percentage_max
1046,1206552050020065280,7,0.6314497952594953,walking_double_support_percentage_max
1057,1207326598656700416,14,0.6790899223523296,walking_double_support_percentage_max
1058,1207326598656700416,21,0.6987179281846094,walking_double_support_percentage_max
1077,1209491295756034048,14,0.8363474691747325,walking_double_support_percentage_max
1078,1209491295756034048,21,0.7507294627509309,walking_double_support_percentage_max
1091,1213552453597499392,7,0.7845893062991783,walking_double_support_percentage_max
1098,1215320517226692608,21,0.7837164100365985,walking_double_support_percentage_max
1099,1215320517226692608,28,0.9568063958017975,walking_double_support_percentage_max
1101,1215604526359937024,7,0.6719061582515217,walking_double_support_percentage_max
1102,1215604526359937024,14,0.7802767914160156,walking_double_support_percentage_max
1103,1215604526359937024,21,0.7743001679111614,walking_double_support_percentage_max
1104,1215604526359937024,28,0.8489287906000046,walking_double_support_percentage_max
1128,1217567720510033920,21,0.6562472689834339,walking_double_support_percentage_max
1138,1219213321102397440,21,0.6134164473933952,walking_double_support_percentage_max
1145,1220630307675860992,0,0.6071856165436531,walking_double_support_percentage_max
1149,1220630307675860992,28,0.6873683673524414,walking_double_support_percentage_max
1157,1220912304240271360,14,0.8949962856928882,walking_double_support_percentage_max
1158,1220912304240271360,21,0.9509757553023285,walking_double_support_percentage_max
1159,1220912304240271360,28,0.786303999930586,walking_double_support_percentage_max
1162,1221045978277421056,14,0.9164480342236533,walking_double_support_percentage_max
1163,1221045978277421056,21,0.8706721063917614,walking_double_support_percentage_max
1164,1221045978277421056,28,0.627728493919099,walking_double_support_percentage_max
1175,1222826978432393216,0,0.6078618388346201,walking_double_support_percentage_max
1185,1224898594392580096,0,0.7383644729114203,walking_double_support_percentage_max
1186,1224898594392580096,7,0.7122948043638379,walking_double_support_percentage_max
1187,1224898594392580096,14,0.668970949372219,walking_double_support_percentage_max
1195,1225528304685686784,0,0.611098486293039,walking_double_support_percentage_max
1202,1225766754649972736,14,0.8495810226755023,walking_double_support_percentage_max
1203,1225766754649972736,21,0.8796512412468469,walking_double_support_percentage_max
1210,1226531330060525568,0,0.9820982794913814,walking_double_support_percentage_max
1211,1226531330060525568,7,0.948809800699208,walking_double_support_percentage_max
1212,1226531330060525568,14,0.8284690837526036,walking_double_support_percentage_max
1213,1226531330060525568,21,0.6126448964989201,walking_double_support_percentage_max
1222,1226822249919160320,14,0.6573608103683164,walking_double_support_percentage_max
1223,1226822249919160320,21,0.6207100983374647,walking_double_support_percentage_max
1246,1227677964261728256,7,0.7183087442232655,walking_double_support_percentage_max
1247,1227677964261728256,14,0.913460609738228,walking_double_support_percentage_max
1248,1227677964261728256,21,0.6468056665810425,walking_double_support_percentage_max
1260,1018555918008258560,0,0.85538513243679,walking_asymmetry_percentage_min
1289,1200788781025734656,28,0.6120938362888648,walking_asymmetry_percentage_min
1326,1204157949995851776,7,0.7873034892641692,walking_asymmetry_percentage_min
1327,1204157949995851776,14,0.6850672887499314,walking_asymmetry_percentage_min
1328,1204157949995851776,21,0.6908713142127328,walking_asymmetry_percentage_min
1329,1204157949995851776,28,0.7999811973137217,walking_asymmetry_percentage_min
1339,1205233118415888384,28,0.7832796670603328,walking_asymmetry_percentage_min
1373,1207326598656700416,21,0.6104627294016011,walking_asymmetry_percentage_min
1374,1207326598656700416,28,0.6490144641477184,walking_asymmetry_percentage_min
1395,1210502516032155648,0,0.6348630030251059,walking_asymmetry_percentage_min
1396,1210502516032155648,7,0.7435594259014776,walking_asymmetry_percentage_min
1416,1215604526359937024,7,0.6485467632094298,walking_asymmetry_percentage_min
1437,1217553861704318976,14,0.8520268552730949,walking_asymmetry_percentage_min
1453,1219213321102397440,21,0.7686954264207791,walking_asymmetry_percentage_min
1454,1219213321102397440,28,0.7220619123643178,walking_asymmetry_percentage_min
1487,1222547328535764992,14,0.8942197446999443,walking_asymmetry_percentage_min
1488,1222547328535764992,21,0.7982722991334503,walking_asymmetry_percentage_min
1510,1225528304685686784,0,0.6990762410569521,walking_asymmetry_percentage_min
1511,1225528304685686784,7,0.8613470213200901,walking_asymmetry_percentage_min
1512,1225528304685686784,14,0.8026543168892757,walking_asymmetry_percentage_min
1555,1227601813916950528,0,0.7284794872415765,walking_asymmetry_percentage_min
1556,1227601813916950528,7,0.866471539616679,walking_asymmetry_percentage_min
1557,1227601813916950528,14,0.8743482869137341,walking_asymmetry_percentage_min
1558,1227601813916950528,21,0.7309171417036292,walking_asymmetry_percentage_min
1567,1227678032487653376,14,0.659909300561551,walking_asymmetry_percentage_min
